movieCd,movieNm,openDt,genre,nation,first_scrn,first_show,first_date,peak,first_week_audi,total_audi,days_in_top10
19868242,연지구 디 오리지널 4K,20260325,판타지|멜로/로맨스,홍콩,130,175,20260325,0,2777,8624,3
20018158,이누야샤 극장판: 시대를 초월한 마음,20260909,애니메이션/액션/어드벤처/판타지,일본,137,211,20260909,0,19595,19829,5
20088147,줄무늬 파자마를 입은 소년,20260423,드라마|전쟁,영국|미국,153,213,20260423,0,3270,3604,1
20125316,석류의 빛깔 ,20251126,드라마,소련,55,68,20251126,0,6764,11982,4
20192680,끝장수사,20260402,범죄|액션,한국,648,1563,20260402,0,72247,85189,12
20204641,비광,20260902,드라마/가족,한국,667,1544,20260902,0,80633,98689,10
20228988,보스,20251003,코미디|액션,한국,1163,5416,20251003,0,1724128,2424803,32
20232662,삼악도,20260311,미스터리|공포(호러),한국,225,819,20260311,0,64868,92271,16
20233039,살인자 리포트,20250905,드라마|스릴러,한국,749,2647,20250905,0,224424,360799,19
20233219,호프,20260715,SF|스릴러|액션,한국,2403,8343,20260715,1,2384231,4570091,52
20233259,정보원,20251203,코미디|범죄,한국,766,1567,20251203,1,108943,164664,17
20236493,지느러미,20260722,SF/스릴러,한국,54,70,20260722,1,1543,2542,1
20240206,전력질주,20250910,드라마,한국,168,441,20250910,0,5691,9175,2
20240400,슈가,20260121,드라마|가족,한국,10,10,20260119,1,2084,2302,1
20240532,짱구,20260422,드라마,한국,693,1672,20260422,0,190037,407791,28
20241266,휴민트,20260211,액션|드라마,한국,1520,6291,20260211,0,1084970,1979498,36
20241501,매드 댄스 오피스,20260304,드라마|코미디,한국,484,885,20260304,0,30365,45429,13
20241575,메소드연기,20260318,드라마|코미디,한국,519,779,20260318,0,46299,59984,11
20242374,한란,20251126,드라마,한국,262,345,20251126,0,17202,18305,7
20242402,눈동자,20260624,스릴러,한국,789,2559,20260624,0,379564,1540233,42
20242837,왕과 사는 남자,20260204,사극|드라마,한국,1658,6932,20260204,0,1165295,16924757,118
20242964,얼굴,20250911,미스터리,한국,940,3368,20250911,0,433246,1067555,29
20243405,나혼자 프린스,20251119,코미디|멜로/로맨스,한국,535,1099,20251119,0,42387,52636,11
20243561,어쩔수가없다,20250924,스릴러|코미디,한국,2114,7378,20250924,0,1211084,2925401,42
20243864,연의 편지,20251001,애니메이션,한국,595,1478,20251001,0,112307,210768,21
20244606,바로 지금 여기,20250917,다큐멘터리,한국,84,91,20250917,0,6081,7370,1
20245485,귀시,20250917,공포(호러),한국,618,1430,20250917,0,62214,63425,7
20246546,보이,20260114,범죄|멜로/로맨스,한국,145,193,20260114,1,8466,12783,4
20247245,홈캠,20250910,공포(호러),한국,260,894,20250910,0,70240,71643,7
20247429,세계의 주인,20251022,드라마,한국,358,501,20251022,0,37963,166061,39
20247457,신의악단,20251231,드라마,한국,496,811,20251231,1,138942,1438794,76
20247458,경주기행,20260826,범죄,한국,745,2018,20260826,1,220293,335379,20
20247648,내 이름은,20260415,드라마,한국,667,1594,20260415,0,110331,206709,27
20247690,시스터,20260128,스릴러,한국,650,1555,20260128,1,56199,69076,9
20248252,와일드 씽,20260603,코미디,한국,1351,5470,20260603,0,584372,1344042,45
20248484,신사: 악귀의 속삭임,20260617,공포(호러)|미스터리,한국,207,403,20260617,0,36230,45711,9
20249255,만약에 우리,20251231,멜로/로맨스,한국,961,2734,20251231,1,574140,2594460,56
20249326,윗집 사람들,20251203,드라마|코미디,한국,752,1765,20251203,1,217524,545602,28
20249624,프로젝트 Y,20260121,범죄|드라마,한국,781,2785,20260121,1,114312,116465,7
20249641,나쁜계집애: 달려라 하니,20251007,애니메이션,한국,487,755,20251007,0,44033,54826,8
20250024,블루 아카이브 : 디 오케스트라 인 시네마,20251212,공연,한국,47,62,20251212,1,3774,3924,1
20250112,극장판 총집편 걸즈 밴드 크라이 청춘광주곡,20260128,애니메이션,일본,130,245,20260128,1,5344,14097,2
20250115,굿 포츈,20260107,코미디|판타지,미국,353,496,20260107,1,23626,24026,7
20250188,하트맨,20260114,코미디,한국,839,2941,20260114,1,175561,235159,14
